rank,athlete_name,country,div_rank,gender_rank,overall_rank,designation,bib,division,points,swim_time,swim_time_detail,swim_div_rank,swim_gender_rank,swim_overall_rank,transition_1,transition_1_detail,bike_time,bike_time_detail,bike_div_rank,bike_gender_rank,bike_overall_rank,transition_2,transition_2_detail,run_time,run_time_detail,run_div_rank,run_gender_rank,run_overall_rank,finish_time
1,Solveig Løvseth,NO,1,1,1,Finisher,16,FPRO,5000,0:55:40,0:55:40,11,12,12,0:02:47,0:02:47,4:31:53,4:31:53,1,1,1,0:02:20,0:02:20,2:55:47,2:55:47,1,1,1,8:28:27
2,Kat Matthews,,2,2,2,Finisher,2,FPRO,4993,0:55:43,0:55:43,13,14,14,0:03:03,0:03:03,4:40:08,4:40:08,3,3,3,0:02:45,0:02:45,2:47:23,2:47:23,2,2,2,8:29:02
3,Laura Philipp,DE,3,3,3,Finisher,1,FPRO,4891,0:55:50,0:55:50,18,19,19,0:02:35,0:02:35,4:40:26,4:40:26,2,2,2,0:02:43,0:02:43,2:55:53,2:55:53,3,3,3,8:37:28
4,Hannah Berry,NZ,4,4,4,Finisher,11,FPRO,4784,0:52:02,0:52:02,7,7,7,0:02:23,0:02:23,4:44:37,4:44:37,5,5,5,0:02:50,0:02:50,3:04:32,3:04:32,4,4,4,8:46:25
5,Lisa Perterer,AT,5,5,5,Finisher,20,FPRO,4763,0:55:41,0:55:41,12,13,13,0:02:39,0:02:39,4:40:50,4:40:50,6,6,6,0:02:55,0:02:55,3:06:03,3:06:03,5,5,5,8:48:08
6,Holly Lawrence,GB,6,6,6,Finisher,36,FPRO,4709,0:50:57,0:50:57,2,2,2,0:02:22,0:02:22,4:47:46,4:47:46,8,8,8,0:03:09,0:03:09,3:08:25,3:08:25,6,6,6,8:52:40
7,Jocelyn McCauley,US,7,7,7,Finisher,43,FPRO,4626,0:55:37,0:55:37,9,10,10,0:02:52,0:02:52,4:40:27,4:40:27,4,4,4,0:03:02,0:03:02,3:17:35,3:17:35,7,7,7,8:59:33
8,Sara Svensk,SE,8,8,8,Finisher,33,FPRO,4621,1:05:21,1:05:21,42,124,124,0:02:32,0:02:32,4:51:56,4:51:56,31,31,31,0:03:38,0:03:38,2:56:29,2:56:29,8,8,8,8:59:58
9,Leonie Konczalla,DE,9,9,9,Finisher,41,FPRO,4620,1:05:19,1:05:19,41,120,120,0:03:00,0:03:00,4:45:57,4:45:57,20,20,20,0:02:59,0:02:59,3:02:49,3:02:49,9,9,9,9:00:04
10,Marlene de Boer,NL,10,10,10,Finisher,21,FPRO,4617,0:55:44,0:55:44,14,15,15,0:02:34,0:02:34,4:46:40,4:46:40,11,11,11,0:02:53,0:02:53,3:12:29,3:12:29,10,10,10,9:00:20
